model,element,n_all,spearman_all,pearson_all,n_hc,spearman_hc,pearson_hc,n_lc,spearman_lc,pearson_lc
NG8_ng_alpha05,HBG1,633,0.4426844044359867,0.626720120124919,125,0.7094082197031593,0.7341930932838622,508,0.2979618912167304,0.2506741753187767
NG8_ng_alpha05,PKLR,1025,0.3252404372079055,0.4861258583807723,180,0.649365281561294,0.6952493952140789,845,0.15328763659568898,0.17053408334108733
NG9_ng_alpha01,GP1BB,869,0.2998895624688158,0.45065755336180996,143,0.607922564074811,0.4851548135204467,726,0.12470333729813164,0.22456480122041786
NG9_ng_alpha01,HBB,432,0.35940338240134645,0.4563090729273704,64,0.586297221537328,0.6687834830415376,368,0.27226663707499704,0.3191622321939229
NG9_ng_alpha01,HBG1,633,0.38721687000819416,0.6074987297078285,125,0.7397605536453171,0.7365239729074038,508,0.2111546376133962,0.1883007090516244
NG9_ng_alpha01,PKLR,1025,0.2775815255447167,0.5208591156227541,180,0.6176509329055462,0.6511487724524573,845,0.11569903556394716,0.16585755801274354
QC1_curriculum,GP1BB,869,0.25503697156321714,0.4082131937005514,143,0.6142806378376228,0.52344816902273,726,0.05109924733541326,0.1387362509676572
QC1_curriculum,HBB,432,0.40458898366382817,0.4719344245971133,64,0.6472963305708763,0.743334066463264,368,0.28941434039981434,0.3129296514017101
QC1_curriculum,HBG1,633,0.4160316237700457,0.5986610373781075,125,0.7040555404434672,0.6419009634572995,508,0.2139943373096514,0.2104450046816791
QC1_curriculum,PKLR,1025,0.35076399211080406,0.4802496638503076,180,0.6580367236346992,0.6382500731731047,845,0.17255974423495948,0.2015375293043951
QC2_curriculum,GP1BB,869,0.3711723960481751,0.5020046341585063,143,0.6441315683993069,0.5341231100268283,726,0.17438141641783536,0.28279412941763765
QC2_curriculum,HBB,432,0.35625023199582373,0.45065154891599385,64,0.40307074676938953,0.6263035609861555,368,0.28471345817068455,0.34648167836207777
QC2_curriculum,HBG1,633,0.3509464499894291,0.5587828375709221,125,0.6703078502544897,0.6690970931335517,508,0.1346310398187002,0.1422392263440121
QC2_curriculum,PKLR,1025,0.22064063770248243,0.3133073770012912,180,0.37706883072944414,0.41278597113143983,845,0.15931804765665972,0.17783379904574473
QC3_curriculum,GP1BB,869,0.28623444396669273,0.4373265107350941,143,0.6090349191359615,0.5468921747750338,726,0.11515300404356947,0.21785128261897668
QC3_curriculum,HBB,432,0.4001914585917512,0.4966386187118816,64,0.7556602624340055,0.7672455882843596,368,0.24185775245078886,0.2534365230863671
QC3_curriculum,HBG1,633,0.3685763675508087,0.5304873957353213,125,0.6393901357246261,0.6359737332901115,508,0.20639077857342697,0.20741906458272547
QC3_curriculum,PKLR,1025,0.23346601725887942,0.46839021352650034,180,0.5991279177598993,0.6391619755937296,845,0.07709112593032183,0.1323267021380032
QS1_quantile,GP1BB,869,0.3429001737440071,0.46465622528407463,143,0.6691964989561888,0.5847012123851268,726,0.15693995626918883,0.23609218636262444
QS1_quantile,HBB,432,0.3265870767653651,0.39566123792713304,64,0.5870534088393968,0.6626752876099347,368,0.2593816757336188,0.26782915286786835
QS1_quantile,HBG1,633,0.3235748650263196,0.4745973277830984,125,0.6257226745609575,0.5746740224781018,508,0.1291942492339167,0.12846952372801188
