model,element,stratification,stratum,n_variants,spearman
bilstm_ranking_seed42,HNF4A,gc_context,1,150,0.2085269044649085
bilstm_ranking_seed42,HNF4A,gc_context,2,222,-0.024151113721571086
bilstm_ranking_seed42,HNF4A,gc_context,3,111,0.21282348121508723
bilstm_ranking_seed42,IRF4,position,0,168,0.18750783307530625
bilstm_ranking_seed42,IRF4,position,1,216,0.19484730037572826
bilstm_ranking_seed42,IRF4,position,2,162,0.030711906560764394
bilstm_ranking_seed42,IRF4,position,3,213,0.1365099234245007
bilstm_ranking_seed42,IRF4,position,4,213,0.2137182297304471
bilstm_ranking_seed42,IRF4,mutation_type,False,648,0.09374785780557798
bilstm_ranking_seed42,IRF4,mutation_type,True,324,0.1606088453018436
bilstm_ranking_seed42,IRF4,effect_size,0,245,0.061781059135989205
bilstm_ranking_seed42,IRF4,effect_size,1,243,0.13775395173661723
bilstm_ranking_seed42,IRF4,effect_size,2,241,0.08287421880965375
bilstm_ranking_seed42,IRF4,effect_size,3,243,0.17924044856018856
bilstm_ranking_seed42,IRF4,gc_context,0,291,-0.0654129905899748
bilstm_ranking_seed42,IRF4,gc_context,1,273,0.12295355094327846
bilstm_ranking_seed42,IRF4,gc_context,2,261,0.22612067478704545
bilstm_ranking_seed42,IRF4,gc_context,3,147,0.19057740494220582
bilstm_ranking_seed42,IRF6,position,0,312,0.12316000971679156
bilstm_ranking_seed42,IRF6,position,1,357,-0.004504756804738556
bilstm_ranking_seed42,IRF6,position,2,236,0.04186578174761989
bilstm_ranking_seed42,IRF6,position,3,190,0.09734001562834736
bilstm_ranking_seed42,IRF6,position,4,262,0.13715064432010676
bilstm_ranking_seed42,IRF6,mutation_type,False,900,0.06643297041845697
bilstm_ranking_seed42,IRF6,mutation_type,True,457,0.09783158112844592
bilstm_ranking_seed42,IRF6,effect_size,0,425,0.04816719566698185
bilstm_ranking_seed42,IRF6,effect_size,1,290,0.030780499357946283
bilstm_ranking_seed42,IRF6,effect_size,2,304,0.05095380706354835
bilstm_ranking_seed42,IRF6,effect_size,3,338,0.06698477710714752
bilstm_ranking_seed42,IRF6,gc_context,0,542,0.09421465216222745
bilstm_ranking_seed42,IRF6,gc_context,1,210,0.10173469703200451
bilstm_ranking_seed42,IRF6,gc_context,2,424,0.07233201551650403
bilstm_ranking_seed42,IRF6,gc_context,3,181,0.045601571479695506
bilstm_ranking_seed42,LDLR,position,0,144,0.015558575955916752
bilstm_ranking_seed42,LDLR,position,1,123,0.5115481915199805
bilstm_ranking_seed42,LDLR,position,2,135,0.35884659882099146
bilstm_ranking_seed42,LDLR,position,3,174,0.3402569539903978
bilstm_ranking_seed42,LDLR,position,4,141,-0.0016206500839955535
bilstm_ranking_seed42,LDLR,mutation_type,False,478,0.23989365191596776
bilstm_ranking_seed42,LDLR,mutation_type,True,239,0.2590182405296777
bilstm_ranking_seed42,LDLR,effect_size,0,202,-0.03227733535433779
bilstm_ranking_seed42,LDLR,effect_size,1,171,0.08715447442802966
bilstm_ranking_seed42,LDLR,effect_size,2,168,0.24117066455197883
bilstm_ranking_seed42,LDLR,effect_size,3,176,0.3864048723828004
bilstm_ranking_seed42,LDLR,gc_context,0,198,-0.0044347338987833565
bilstm_ranking_seed42,LDLR,gc_context,1,207,0.395092957537191
bilstm_ranking_seed42,LDLR,gc_context,2,222,0.3614769138367148
bilstm_ranking_seed42,LDLR,gc_context,3,90,0.07460349747698698
bilstm_ranking_seed42,MSMB,position,0,300,0.08314469013541075
bilstm_ranking_seed42,MSMB,position,1,201,0.019566379464094962
bilstm_ranking_seed42,MSMB,position,2,345,-0.011461316924818037
bilstm_ranking_seed42,MSMB,position,3,297,0.2269877146748708
bilstm_ranking_seed42,MSMB,position,4,201,0.10551527288174815
bilstm_ranking_seed42,MSMB,mutation_type,False,896,0.09147184779743874
bilstm_ranking_seed42,MSMB,mutation_type,True,448,0.11152296328750962
bilstm_ranking_seed42,MSMB,effect_size,0,438,0.011952751365889363
bilstm_ranking_seed42,MSMB,effect_size,1,270,0.006963282662363484
bilstm_ranking_seed42,MSMB,effect_size,2,311,0.07687201930468097
bilstm_ranking_seed42,MSMB,effect_size,3,325,0.1931436017884665
bilstm_ranking_seed42,MSMB,gc_context,0,528,0.12615451828810056
bilstm_ranking_seed42,MSMB,gc_context,1,225,0.3303954516974026
bilstm_ranking_seed42,MSMB,gc_context,2,324,0.030524940529331017
bilstm_ranking_seed42,MSMB,gc_context,3,267,-0.0610589094635386
bilstm_ranking_seed42,MYCrs6983267,position,0,302,0.43330229487798494
bilstm_ranking_seed42,MYCrs6983267,position,1,270,0.12610922558365265
bilstm_ranking_seed42,MYCrs6983267,position,2,285,0.19000713416325982
bilstm_ranking_seed42,MYCrs6983267,position,3,303,-0.11499926752886996
bilstm_ranking_seed42,MYCrs6983267,position,4,204,-0.016377589467848782
bilstm_ranking_seed42,MYCrs6983267,mutation_type,False,907,0.1524714309863185
bilstm_ranking_seed42,MYCrs6983267,mutation_type,True,457,0.178750863692206
bilstm_ranking_seed42,MYCrs6983267,effect_size,0,483,-0.029021594726184607
bilstm_ranking_seed42,MYCrs6983267,effect_size,1,297,-0.0036278639145842922
